Nivå	Typeinndeling	HTG	HT	GT_nr	Basic type	S_kode	Name	Name_EN	Kortnavn	Beskrivelse	KLG_RE-IA	KLG_RE-ID-KF	KLG_RE-KS	KLG_KA	KLG_IYK	KLG_IP	KLG_BP	KLG_VP	KLG_VE	KLG_AI	KLG_AI-KS	KLG_JP	Pred_Lnr	Naturlandskap	rekkefølge_kjeding_klg					
LA	TI	I	I-A	31	I-A-31	LA-TI-I-A-31	Middels kupert ås- og fjellandskap under skoggrensen med tett bebyggelse	Medium steep hills with village	Middels kupert åslandskap med tett bebyggelse		KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	31	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	32	I-A-32	LA-TI-I-A-32	Middels kupert ås- og fjellandskap under skoggrensen med tett bebyggelse  og jordbruksdominans	Medium steep hills with village and agriculture	Middels kupert åslandskap med tett bebyggelse  og jordbruksdominans		KLG_RE-IA-3						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-2	32	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	33	I-A-33	LA-TI-I-A-33	Middels kupert ås- og fjellandskap med hei under skoggrensen	Medium steep low mountains	Middels kupert åslandskap med by		KLG_RE-IA-3						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	33	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	34	I-A-34	LA-TI-I-A-34	Middels kupert ås- og fjellandskap med hei under skoggrensen med jordbruksdominans	Medium steep low mountains and agriculture	Middels kupert åslandskap med hei  og jordbruksdominans		KLG_RE-IA-3						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-2	34	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	35	I-A-35	LA-TI-I-A-35	Middels kupert ås- og fjellandskap med hei under skoggrensen med bebygde områder	Medium steep low mountains with settlements	Middels kupert åslandskap med hei og bebyggelse		KLG_RE-IA-3						KLG_BP-1		KLG_VE-2	KLG_AI-2		KLG_JP-1	35	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	36	I-A-36	LA-TI-I-A-36	Middels kupert ås- og fjellandskap med hei over skoggrensen	Medium steep mountains	Middels kupert fjellandskap med hei		KLG_RE-IA-3						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	36	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	37	I-A-37	LA-TI-I-A-37	Middels kupert ås- og fjellandskap med hei over skoggrensen med bebygde områder	Medium steep mountains with settlements	Middels kupert fjellandskap med hei og bebyggelse		KLG_RE-IA-3						KLG_BP-1		KLG_VE-3	KLG_AI-2		KLG_JP-1	37	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	38	I-A-38	LA-TI-I-A-38	Middels kupert ås- og fjellandskap med bart fjell over skoggrensen	Medium steep barren mountains	Middels kupert bart fjellandskap		KLG_RE-IA-3						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	38	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	39	I-A-39	LA-TI-I-A-39	Middels kupert ås- og fjellandskap dominert av isbre med bart fjell over skoggrensen	Medium steep barren mountains with glacier	Middels kupert bart fjellandskap dominert av isbre		KLG_RE-IA-3						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	39	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	40	I-A-40	LA-TI-I-A-40	Kupert ås- og fjellandskap under skoggrensen	Steep hills	Kupert åslandskap		KLG_RE-IA-4						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	40	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	41	I-A-41	LA-TI-I-A-41	Kupert ås- og fjellandskap under skoggrensen med bebygde områder	Steep hills with settlements	Kupert åslandskap med bebyggelse		KLG_RE-IA-4						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	41	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	42	I-A-42	LA-TI-I-A-42	Kupert ås- og fjellandskap under skoggrensen med bebygde områder og jordbruksdominans	Steep hills with settlements and agriculture	Kupert åslandskap med bebyggelse og jordbruksdominans		KLG_RE-IA-4						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-2	42	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	43	I-A-43	LA-TI-I-A-43	Kupert ås- og fjellandskap under skoggrensen med tett bebyggelse	Steep hills with village	Kupert åslandskap med tett bebyggelse		KLG_RE-IA-4						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	43	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	44	I-A-44	LA-TI-I-A-44	Kupert ås- og fjellandskap med hei under skoggrensen	Steep low mountains	Kupert åslandskap med hei		KLG_RE-IA-4						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	44	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	45	I-A-45	LA-TI-I-A-45	Kupert ås- og fjellandskap med hei over skoggrensen	Steep mountains	Kupert fjellandskap med hei		KLG_RE-IA-4						KLG_BP-1		KLG_VE-3	KLG_AI-1		KLG_JP-1	45	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	46	I-A-46	LA-TI-I-A-46	Kupert ås- og fjellandskap med bart fjell over skoggrensen	Steep barren mountains	Kupert bart fjellandskap		KLG_RE-IA-4						KLG_BP-1		KLG_VE-4	KLG_AI-1		KLG_JP-1	46	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	47	I-A-47	LA-TI-I-A-47	Kupert ås- og fjellandskap dominert av isbre med bart fjell over skoggrensen	Steep barren mountains with glacier	Kupert bart fjellandskap dominert av isbre		KLG_RE-IA-4						KLG_BP-2		KLG_VE-4	KLG_AI-1		KLG_JP-1	47	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	48	I-A-48	LA-TI-I-A-48	Tindepreget ås- og fjellandskap under skoggrensen	Steep and rugged hills	Tindepreget åslandskap		KLG_RE-IA-5						KLG_BP-1		KLG_VE-1	KLG_AI-1		KLG_JP-1	48	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	49	I-A-49	LA-TI-I-A-49	Tindepreget ås- og fjellandskap under skoggrensen med bebygde områder	Steep and rugged hills with settlements	Tindepreget åslandskap med bebyggelse		KLG_RE-IA-5						KLG_BP-1		KLG_VE-1	KLG_AI-2		KLG_JP-1	49	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	50	I-A-50	LA-TI-I-A-50	Tindepreget ås- og fjellandskap under skoggrensen med tett bebyggelse	Steep and rugged hills with village	Tindepreget åslandskap med tett bebyggelse		KLG_RE-IA-5						KLG_BP-1		KLG_VE-1	KLG_AI-3		KLG_JP-1	50	0	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
LA	TI	I	I-A	51	I-A-51	LA-TI-I-A-51	Tindepreget ås- og fjellandskap med hei under skoggrensen	Steep and rugged low mountains	Tindepreget åslandskap med hei		KLG_RE-IA-5						KLG_BP-1		KLG_VE-2	KLG_AI-1		KLG_JP-1	51	1	KLG_RE-IA,KLG_BP,KLG_VE,KLG_AI,KLG_JP					
